ticker,name,sector,規模区分
6465.T,ホシザキ,機械,TOPIX Mid400
6471.T,日本精工,機械,TOPIX Mid400
6472.T,ＮＴＮ,機械,TOPIX Mid400
6473.T,ジェイテクト,機械,TOPIX Mid400
6479.T,ミネベアミツミ,電気機器,TOPIX Mid400
6481.T,ＴＨＫ,機械,TOPIX Mid400
6501.T,日立製作所,電気機器,TOPIX Core30
6503.T,三菱電機,電気機器,TOPIX Core30
6504.T,富士電機,電気機器,TOPIX Mid400
6506.T,安川電機,電気機器,TOPIX Mid400
6525.T,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,TOPIX Mid400
6526.T,ソシオネクスト,電気機器,TOPIX Mid400
6532.T,ベイカレント,サービス業,TOPIX Mid400
6544.T,ジャパンエレベーターサービスホールディングス,サービス業,TOPIX Mid400
6586.T,マキタ,機械,TOPIX Mid400
6592.T,マブチモーター,電気機器,TOPIX Mid400
6632.T,ＪＶＣケンウッド,電気機器,TOPIX Mid400
6645.T,オムロン,電気機器,TOPIX Mid400
6674.T,ジーエス・ユアサ　コーポレーション,電気機器,TOPIX Mid400
6701.T,日本電気,電気機器,TOPIX Large70
6702.T,富士通,電気機器,TOPIX Large70
6707.T,サンケン電気,電気機器,TOPIX Mid400
6723.T,ルネサスエレクトロニクス,電気機器,TOPIX Large70
6724.T,セイコーエプソン,電気機器,TOPIX Mid400
6728.T,アルバック,電気機器,TOPIX Mid400
6752.T,パナソニック　ホールディングス,電気機器,TOPIX Large70
6753.T,シャープ,電気機器,TOPIX Mid400
6754.T,アンリツ,電気機器,TOPIX Mid400
6758.T,ソニーグループ,電気機器,TOPIX Core30
6762.T,ＴＤＫ,電気機器,TOPIX Large70
6770.T,アルプスアルパイン,電気機器,TOPIX Mid400
6806.T,ヒロセ電機,電気機器,TOPIX Mid400
6841.T,横河電機,電気機器,TOPIX Mid400
6845.T,アズビル,電気機器,TOPIX Mid400
6849.T,日本光電工業,電気機器,TOPIX Mid400
6856.T,堀場製作所,電気機器,TOPIX Mid400
6857.T,アドバンテスト,電気機器,TOPIX Core30
6861.T,キーエンス,電気機器,TOPIX Core30
6869.T,シスメックス,電気機器,TOPIX Mid400
6902.T,デンソー,輸送用機器,TOPIX Large70
6920.T,レーザーテック,電気機器,TOPIX Large70
6923.T,スタンレー電気,電気機器,TOPIX Mid400
6925.T,ウシオ電機,電気機器,TOPIX Mid400
6951.T,日本電子,電気機器,TOPIX Mid400
6952.T,カシオ計算機,電気機器,TOPIX Mid400
6954.T,ファナック,電気機器,TOPIX Large70
6963.T,ローム,電気機器,TOPIX Mid400
6965.T,浜松ホトニクス,電気機器,TOPIX Mid400
6971.T,京セラ,電気機器,TOPIX Large70
6976.T,太陽誘電,電気機器,TOPIX Mid400
6981.T,村田製作所,電気機器,TOPIX Large70
6988.T,日東電工,化学,TOPIX Mid400
7003.T,三井Ｅ＆Ｓ,機械,TOPIX Mid400
7011.T,三菱重工業,機械,TOPIX Core30
7012.T,川崎重工業,輸送用機器,TOPIX Mid400
7013.T,ＩＨＩ,機械,TOPIX Mid400
7164.T,全国保証,その他金融業,TOPIX Mid400
7167.T,めぶきフィナンシャルグループ,銀行業,TOPIX Mid400
7180.T,九州フィナンシャルグループ,銀行業,TOPIX Mid400
7181.T,かんぽ生命保険,保険業,TOPIX Mid400
7182.T,ゆうちょ銀行,銀行業,TOPIX Large70
7186.T,横浜フィナンシャルグループ,銀行業,TOPIX Mid400
7189.T,西日本フィナンシャルホールディングス,銀行業,TOPIX Mid400
7201.T,日産自動車,輸送用機器,TOPIX Mid400
7202.T,いすゞ自動車,輸送用機器,TOPIX Mid400
7203.T,トヨタ自動車,輸送用機器,TOPIX Core30
7211.T,三菱自動車工業,輸送用機器,TOPIX Mid400
7240.T,ＮＯＫ,輸送用機器,TOPIX Mid400
7259.T,アイシン,輸送用機器,TOPIX Mid400
7261.T,マツダ,輸送用機器,TOPIX Mid400
7267.T,本田技研工業,輸送用機器,TOPIX Core30
7269.T,スズキ,輸送用機器,TOPIX Large70
7270.T,ＳＵＢＡＲＵ,輸送用機器,TOPIX Large70
7272.T,ヤマハ発動機,輸送用機器,TOPIX Mid400
7276.T,小糸製作所,電気機器,TOPIX Mid400
7282.T,豊田合成,輸送用機器,TOPIX Mid400
7309.T,シマノ,輸送用機器,TOPIX Large70
7313.T,テイ・エス　テック,輸送用機器,TOPIX Mid400
7337.T,ひろぎんホールディングス,銀行業,TOPIX Mid400
7453.T,良品計画,小売業,TOPIX Mid400
7458.T,第一興商,卸売業,TOPIX Mid400
7459.T,メディパルホールディングス,卸売業,TOPIX Mid400
7476.T,アズワン,卸売業,TOPIX Mid400
7532.T,パン・パシフィック・インターナショナルホールディングス,小売業,TOPIX Mid400
7550.T,ゼンショーホールディングス,小売業,TOPIX Mid400
7616.T,コロワイド,小売業,TOPIX Mid400
7649.T,スギホールディングス,小売業,TOPIX Mid400
7701.T,島津製作所,精密機器,TOPIX Mid400
7729.T,東京精密,精密機器,TOPIX Mid400
7731.T,ニコン,精密機器,TOPIX Mid400
7733.T,オリンパス,精密機器,TOPIX Large70
7735.T,ＳＣＲＥＥＮホールディングス,電気機器,TOPIX Mid400
7741.T,ＨＯＹＡ,精密機器,TOPIX Core30
7747.T,朝日インテック,精密機器,TOPIX Mid400
7751.T,キヤノン,電気機器,TOPIX Large70
7752.T,リコー,電気機器,TOPIX Mid400
7832.T,バンダイナムコホールディングス,その他製品,TOPIX Large70
7846.T,パイロットコーポレーション,その他製品,TOPIX Mid400
7867.T,タカラトミー,その他製品,TOPIX Mid400
7911.T,ＴＯＰＰＡＮホールディングス,その他製品,TOPIX Mid400
7912.T,大日本印刷,その他製品,TOPIX Mid400
7936.T,アシックス,その他製品,TOPIX Large70
7951.T,ヤマハ,その他製品,TOPIX Mid400
7956.T,ピジョン,その他製品,TOPIX Mid400
7974.T,任天堂,その他製品,TOPIX Core30
7984.T,コクヨ,その他製品,TOPIX Mid400
7988.T,ニフコ,化学,TOPIX Mid400
8001.T,伊藤忠商事,卸売業,TOPIX Core30
8002.T,丸紅,卸売業,TOPIX Large70
8012.T,長瀬産業,卸売業,TOPIX Mid400
8015.T,豊田通商,卸売業,TOPIX Large70
8020.T,兼松,卸売業,TOPIX Mid400
8031.T,三井物産,卸売業,TOPIX Core30
8035.T,東京エレクトロン,電気機器,TOPIX Core30
8053.T,住友商事,卸売業,TOPIX Large70
8056.T,ＢＩＰＲＯＧＹ,情報・通信業,TOPIX Mid400
8058.T,三菱商事,卸売業,TOPIX Core30
8060.T,キヤノンマーケティングジャパン,卸売業,TOPIX Mid400
8086.T,ニプロ,精密機器,TOPIX Mid400
8088.T,岩谷産業,卸売業,TOPIX Mid400
8111.T,ゴールドウイン,繊維製品,TOPIX Mid400
8113.T,ユニ・チャーム,化学,TOPIX Large70
8129.T,東邦ホールディングス,卸売業,TOPIX Mid400
8136.T,サンリオ,卸売業,TOPIX Mid400
8174.T,日本瓦斯,小売業,TOPIX Mid400
8227.T,しまむら,小売業,TOPIX Mid400
8233.T,高島屋,小売業,TOPIX Mid400
8242.T,エイチ・ツー・オー　リテイリング,小売業,TOPIX Mid400
8252.T,丸井グループ,小売業,TOPIX Mid400
8253.T,クレディセゾン,その他金融業,TOPIX Mid400
8267.T,イオン,小売業,TOPIX Large70
8282.T,ケーズホールディングス,小売業,TOPIX Mid400
8283.T,ＰＡＬＴＡＣ,卸売業,TOPIX Mid400
8303.T,ＳＢＩ新生銀行,銀行業,TOPIX Mid400
8304.T,あおぞら銀行,銀行業,TOPIX Mid400
8306.T,三菱ＵＦＪフィナンシャル・グループ,銀行業,TOPIX Core30
8308.T,りそなホールディングス,銀行業,TOPIX Large70
8309.T,三井住友トラストグループ,銀行業,TOPIX Large70
8316.T,三井住友フィナンシャルグループ,銀行業,TOPIX Core30
8331.T,千葉銀行,銀行業,TOPIX Mid400
8334.T,群馬銀行,銀行業,TOPIX Mid400
8341.T,七十七銀行,銀行業,TOPIX Mid400
8354.T,ふくおかフィナンシャルグループ,銀行業,TOPIX Mid400
8359.T,八十二長野銀行,銀行業,TOPIX Mid400
8377.T,ほくほくフィナンシャルグループ,銀行業,TOPIX Mid400
8410.T,セブン銀行,銀行業,TOPIX Mid400
8411.T,みずほフィナンシャルグループ,銀行業,TOPIX Core30
8418.T,山口フィナンシャルグループ,銀行業,TOPIX Mid400
8424.T,芙蓉総合リース,その他金融業,TOPIX Mid400
8439.T,東京センチュリー,その他金融業,TOPIX Mid400
8473.T,ＳＢＩホールディングス,証券、商品先物取引業,TOPIX Mid400
8570.T,イオンフィナンシャルサービス,その他金融業,TOPIX Mid400
8572.T,アコム,その他金融業,TOPIX Mid400
8591.T,オリックス,その他金融業,TOPIX Large70
8593.T,三菱ＨＣキャピタル,その他金融業,TOPIX Mid400
8595.T,ジャフコ　グループ,証券、商品先物取引業,TOPIX Mid400
8601.T,大和証券グループ本社,証券、商品先物取引業,TOPIX Mid400
8604.T,野村ホールディングス,証券、商品先物取引業,TOPIX Large70
8630.T,ＳＯＭＰＯホールディングス,保険業,TOPIX Large70
8697.T,日本取引所グループ,その他金融業,TOPIX Large70
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,TOPIX Large70
8729.T,ソニーフィナンシャルグループ,保険業,TOPIX Core30
8750.T,第一生命ホールディングス,保険業,TOPIX Large70
8766.T,東京海上ホールディングス,保険業,TOPIX Core30
8795.T,Ｔ＆Ｄホールディングス,保険業,TOPIX Mid400
8801.T,三井不動産,不動産業,TOPIX Large70
8802.T,三菱地所,不動産業,TOPIX Large70
8804.T,東京建物,不動産業,TOPIX Mid400
8830.T,住友不動産,不動産業,TOPIX Large70
8876.T,リログループ,サービス業,TOPIX Mid400
9001.T,東武鉄道,陸運業,TOPIX Mid400
9003.T,相鉄ホールディングス,陸運業,TOPIX Mid400
9005.T,東急,陸運業,TOPIX Mid400
9006.T,京浜急行電鉄,陸運業,TOPIX Mid400
9007.T,小田急電鉄,陸運業,TOPIX Mid400
9008.T,京王電鉄,陸運業,TOPIX Mid400
9009.T,京成電鉄,陸運業,TOPIX Mid400
9020.T,東日本旅客鉄道,陸運業,TOPIX Large70
9021.T,西日本旅客鉄道,陸運業,TOPIX Large70
9022.T,東海旅客鉄道,陸運業,TOPIX Large70
9023.T,東京地下鉄,陸運業,TOPIX Mid400
9024.T,西武ホールディングス,陸運業,TOPIX Mid400
9031.T,西日本鉄道,陸運業,TOPIX Mid400
9041.T,近鉄グループホールディングス,陸運業,TOPIX Mid400
9042.T,阪急阪神ホールディングス,陸運業,TOPIX Mid400
9044.T,南海電気鉄道,陸運業,TOPIX Mid400
9045.T,京阪ホールディングス,陸運業,TOPIX Mid400
9048.T,名古屋鉄道,陸運業,TOPIX Mid400
9064.T,ヤマトホールディングス,陸運業,TOPIX Mid400
9065.T,山九,陸運業,TOPIX Mid400
9069.T,センコーグループホールディングス,陸運業,TOPIX Mid400
9072.T,ニッコンホールディングス,陸運業,TOPIX Mid400
9076.T,セイノーホールディングス,陸運業,TOPIX Mid400
9101.T,日本郵船,海運業,TOPIX Large70
9104.T,商船三井,海運業,TOPIX Large70
9107.T,川崎汽船,海運業,TOPIX Mid400
9142.T,九州旅客鉄道,陸運業,TOPIX Mid400
9143.T,ＳＧホールディングス,陸運業,TOPIX Mid400
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業,TOPIX Mid400
9201.T,日本航空,空運業,TOPIX Mid400
9202.T,ＡＮＡホールディングス,空運業,TOPIX Large70
9301.T,三菱倉庫,倉庫・運輸関連業,TOPIX Mid400
9302.T,三井倉庫ホールディングス,倉庫・運輸関連業,TOPIX Mid400
9364.T,上組,倉庫・運輸関連業,TOPIX Mid400
9401.T,ＴＢＳホールディングス,情報・通信業,TOPIX Mid400
9404.T,日本テレビホールディングス,情報・通信業,TOPIX Mid400
9432.T,ＮＴＴ,情報・通信業,TOPIX Core30
9433.T,ＫＤＤＩ,情報・通信業,TOPIX Core30
9434.T,ソフトバンク,情報・通信業,TOPIX Core30
9435.T,光通信,情報・通信業,TOPIX Mid400
9449.T,ＧＭＯインターネットグループ,情報・通信業,TOPIX Mid400
9468.T,ＫＡＤＯＫＡＷＡ,情報・通信業,TOPIX Mid400
9501.T,東京電力ホールディングス,電気・ガス業,TOPIX Mid400
9502.T,中部電力,電気・ガス業,TOPIX Mid400
9503.T,関西電力,電気・ガス業,TOPIX Mid400
9504.T,中国電力,電気・ガス業,TOPIX Mid400
9505.T,北陸電力,電気・ガス業,TOPIX Mid400
9506.T,東北電力,電気・ガス業,TOPIX Mid400
9507.T,四国電力,電気・ガス業,TOPIX Mid400
9508.T,九州電力,電気・ガス業,TOPIX Mid400
9509.T,北海道電力,電気・ガス業,TOPIX Mid400
9513.T,電源開発,電気・ガス業,TOPIX Mid400
9531.T,東京瓦斯,電気・ガス業,TOPIX Mid400
9532.T,大阪瓦斯,電気・ガス業,TOPIX Mid400
9533.T,東邦瓦斯,電気・ガス業,TOPIX Mid400
9602.T,東宝,情報・通信業,TOPIX Mid400
9616.T,共立メンテナンス,サービス業,TOPIX Mid400
9627.T,アインホールディングス,小売業,TOPIX Mid400
9684.T,スクウェア・エニックス・ホールディングス,情報・通信業,TOPIX Mid400
9697.T,カプコン,情報・通信業,TOPIX Mid400
9706.T,日本空港ビルデング,不動産業,TOPIX Mid400
9735.T,セコム,サービス業,TOPIX Large70
9744.T,メイテックグループホールディングス,サービス業,TOPIX Mid400
9759.T,ＮＳＤ,情報・通信業,TOPIX Mid400
9766.T,コナミグループ,情報・通信業,TOPIX Mid400
9831.T,ヤマダホールディングス,小売業,TOPIX Mid400
9843.T,ニトリホールディングス,小売業,TOPIX Mid400
9861.T,吉野家ホールディングス,小売業,TOPIX Mid400
9934.T,因幡電機産業,卸売業,TOPIX Mid400
9962.T,ミスミグループ本社,卸売業,TOPIX Mid400
9983.T,ファーストリテイリング,小売業,TOPIX Core30
9984.T,ソフトバンクグループ,情報・通信業,TOPIX Core30
9987.T,スズケン,卸売業,TOPIX Mid400
9989.T,サンドラッグ,小売業,TOPIX Mid400
285A.T,キオクシアホールディングス,電気機器,TOPIX Mid400
417A.T,ブルーゾーンホールディングス,小売業,TOPIX Mid400
